Month,HOAD Remarks,Owned GST No,GSTIN of supplier,Trade/Legal name,Invoice number,Invoice type,Invoice Date,Invoice Value(₹),Place of supply,Supply Attract Reverse Charge,Taxable Value (₹),Integrated Tax(₹),Central Tax(₹),State/UT Tax(₹),Cess(₹),GSTR-1/IFF/GSTR-5 Period,GSTR-1/IFF/GSTR-5 Filing Date,ITC Availability,Reason,Applicable % of Tax Rate,Source,IRN,IRN Date,User Remark's
24-Dec,Carry Forward,27AADCA2325A1ZF,08EWFPS9687Q2ZY,GOURI TEXTILES,009,Regular,7/20/2024,8140,Maharashtra,No,7752,387.6,0,0,0,Dec'24,11/1/2025,Yes,,100%,,,,bill booked in Aug 24
24-Dec,Carry Forward,27AADCA2325A1ZF,08EWFPS9687Q2ZY,GOURI TEXTILES,010,Regular,7/20/2024,10500,Maharashtra,No,10000,500,0,0,0,Dec'24,11/1/2025,Yes,,100%,,,,Bill booked in Sep 24
24-Dec,Carry Forward,27AADCA2325A1ZF,08EWFPS9687Q2ZY,GOURI TEXTILES,011,Regular,7/20/2024,2100,Maharashtra,No,2000,100,0,0,0,Dec'24,11/1/2025,Yes,,100%,,,,Bill booked in Sep 24
24-Dec,Carry Forward,27AADCA2325A1ZF,08EWFPS9687Q2ZY,GOURI TEXTILES,012,Regular,7/30/2024,2520,Maharashtra,No,2400,120,0,0,0,Dec'24,11/1/2025,Yes,,100%,,,,bill booked in Aug 24
24-Dec,Carry Forward,27AADCA2325A1ZF,08EWFPS9687Q2ZY,GOURI TEXTILES,013,Regular,8/14/2024,5040,Maharashtra,No,4800,240,0,0,0,Dec'24,11/1/2025,Yes,,100%,,,,bill booked in Aug 24
24-Dec,Carry Forward,27AADCA2325A1ZF,27AAACU4322N1Z6,UPS EXPRESS PRIVATE LIMITED,127100335822,Regular,12/11/2024,1504.81,Maharashtra,No,1275.27,0,114.77,114.77,0,Dec'24,11/1/2025,Yes,,100%,E-Invoice,d57b9c23585bcc4a9580eb688a7770f40a9ea44ee32ea9499c9b9d18b232799c,11/12/2024,Invoice not received
24-Dec,Carry Forward,27AADCA2325A1ZF,27AAACU4322N1Z6,UPS EXPRESS PRIVATE LIMITED,127100335823,Regular,12/11/2024,1504.81,Maharashtra,No,1275.27,0,114.77,114.77,0,Dec'24,11/1/2025,Yes,,100%,E-Invoice,279b3cfa96552ac870f44c96197a94630ecadf5d40101b2f40ec8cd0d85a3ddc,11/12/2024,Invoice not received
24-Dec,Carry Forward,27AADCA2325A1ZF,27AAACU4322N1Z6,UPS EXPRESS PRIVATE LIMITED,127100335824,Regular,12/11/2024,2316.04,Maharashtra,No,1962.74,0,176.65,176.65,0,Dec'24,11/1/2025,Yes,,100%,E-Invoice,4b0f405838bdc86d46d3d333167e640bc167248888e032342fcf0a57f1206570,11/12/2024,Invoice not received
24-Dec,Carry Forward,27AADCA2325A1ZF,27AAACU4322N1Z6,UPS EXPRESS PRIVATE LIMITED,127100336435,Regular,12/18/2024,10829.01,Maharashtra,No,9177.13,0,825.94,825.94,0,Dec'24,11/1/2025,Yes,,100%,,,,Invoice not received
24-Dec,Carry Forward,27AADCA2325A1ZF,27AAACU4322N1Z6,UPS EXPRESS PRIVATE LIMITED,127100336436,Regular,12/18/2024,8446.14,Maharashtra,No,7157.74,0,644.2,644.2,0,Dec'24,11/1/2025,Yes,,100%,,,,Invoice not received
24-Dec,Carry Forward,27AADCA2325A1ZF,27AAACU4322N1Z6,UPS EXPRESS PRIVATE LIMITED,127100336437,Regular,12/18/2024,3894.56,Maharashtra,No,3300.48,0,297.04,297.04,0,Dec'24,11/1/2025,Yes,,100%,,,,Invoice not received
24-Dec,Carry Forward,27AADCA2325A1ZF,27AAACU4322N1Z6,UPS EXPRESS PRIVATE LIMITED,127100336438,Regular,12/18/2024,1405.01,Maharashtra,No,1190.69,0,107.16,107.16,0,Dec'24,11/1/2025,Yes,,100%,,,,Invoice not received
24-Dec,Carry Forward,27AADCA2325A1ZF,27AAACU4322N1Z6,UPS EXPRESS PRIVATE LIMITED,127100337985,Regular,12/24/2024,2014.87,Maharashtra,No,1707.51,0,153.68,153.68,0,Dec'24,11/1/2025,Yes,,100%,,,,Invoice not received
