     Bill.Doc.,DocumentNo,POS Invoice No.,Pstng Date,Doc. Date,Code,Bill Type,Amount in local cur.,BusA,Type,Assignment,St, Item,Itm,Purch.Doc.,         Quantity, Period,PK,LCurr,Tx,Clrng doc.,Reference,Account,S,Cost Ctr,CoCd,Disc.2,D/C,Text,Customer,User name,Offst.acct,Vendor,Year/month,O,Site,AccTy
93736120,90612471,7000266775,02-01-2025,02-01-2025,10065600,ZFP,-134.46,,RV,20250201,,,3,,0,11,50,INR,2,,93736120,10065600,,,AG01,0,H,,C-A456,SAPAUTO,300088,,2024/11,D,A456,S
93736120,90612471,7000266775,02-01-2025,02-01-2025,10065600,ZFP,-134.57,,RV,20250201,,,5,,0,11,50,INR,2,,93736120,10065600,,,AG01,0,H,,C-A456,SAPAUTO,300088,,2024/11,D,A456,S
93736121,90612472,7000266887,02-01-2025,02-01-2025,10065600,ZFP,-197.68,,RV,20250201,,,3,,0,11,50,INR,2,,93736121,10065600,,,AG01,0,H,,C-A456,SAPAUTO,300088,,2024/11,D,A456,S
93736122,90612478,8000159598,02-01-2025,02-01-2025,10065600,ZFP,-213.75,,RV,20250201,,,3,,0,11,50,INR,2,,93736122,10065600,,,AG01,0,H,,C-A457,SAPAUTO,300087,,2024/11,D,A457,S
93736123,90612479,8000159482,02-01-2025,02-01-2025,10065600,ZFP,-133.93,,RV,20250201,,,3,,0,11,50,INR,2,,93736123,10065600,,,AG01,0,H,,C-A457,SAPAUTO,300095,,2024/11,D,A457,S
93736299,90614544,7000267018,02-03-2025,02-03-2025,10065600,ZFP,-240.54,,RV,20250203,,,3,,0,11,50,INR,2,,93736299,10065600,,,AG01,0,H,,C-A456,SAPAUTO,300095,,2024/11,D,A456,S
93736300,90614545,7000266853,02-03-2025,02-03-2025,10065600,ZFP,-149.46,,RV,20250203,,,3,,0,11,50,INR,2,,93736300,10065600,,,AG01,0,H,,C-A456,SAPAUTO,300088,,2024/11,D,A456,S
93736300,90614545,7000266853,02-03-2025,02-03-2025,10065600,ZFP,-15.26,,RV,20250203,,,5,,0,11,50,INR,3,,93736300,10065600,,,AG01,0,H,,C-A456,SAPAUTO,300088,,2024/11,D,A456,S
84115122,90621889,,02-03-2025,02-03-2025,10065600,GF2,-24.95,,RV,20250203,,,3,,0,11,50,INR,2,,84115122,10065600,,,AG01,0,H,,DF06,VAIBHAVM,DF06,,2024/11,D,A456,S
84115122,90621889,,02-03-2025,02-03-2025,10065600,GF2,-2.37,,RV,20250203,,,5,,0,11,50,INR,9,,84115122,10065600,,,AG01,0,H,,DF06,VAIBHAVM,DF06,,2024/11,D,A456,S
93736537,90616939,7000265228,02-04-2025,02-04-2025,10065600,ZFP,251.25,,RV,20250204,,,3,,0,11,40,INR,2,,93736537,10065600,,,AG01,0,S,,C-A456,SAPAUTO,300088,,2024/11,D,A456,S
84114906,90617695,,02-04-2025,02-04-2025,10065600,GF2,-22.45,,RV,20250204,,,3,,0,11,50,INR,2,,84114906,10065600,,,AG01,0,H,,C-1602,SAPAUTO,C-1602,,2024/11,D,A456,S
84114906,90617695,,02-04-2025,02-04-2025,10065600,GF2,-54.9,,RV,20250204,,,5,,0,11,50,INR,2,,84114906,10065600,,,AG01,0,H,,C-1602,SAPAUTO,C-1602,,2024/11,D,A456,S
84114906,90617695,,02-04-2025,02-04-2025,10065600,GF2,-22.95,,RV,20250204,,,7,,0,11,50,INR,2,,84114906,10065600,,,AG01,0,H,,C-1602,SAPAUTO,C-1602,,2024/11,D,A456,S
84114906,90617695,,02-04-2025,02-04-2025,10065600,GF2,-22.95,,RV,20250204,,,9,,0,11,50,INR,2,,84114906,10065600,,,AG01,0,H,,C-1602,SAPAUTO,C-1602,,2024/11,D,A456,S
84114906,90617695,,02-04-2025,02-04-2025,10065600,GF2,-22.95,,RV,20250204,,,11,,0,11,50,INR,2,,84114906,10065600,,,AG01,0,H,,C-1602,SAPAUTO,C-1602,,2024/11,D,A456,S
93736571,90618108,7000267334,02-05-2025,02-05-2025,10065600,ZFP,-358.93,,RV,20250205,,,3,,0,11,50,INR,3,,93736571,10065600,,,AG01,0,H,,C-A456,SAPAUTO,300088,,2024/11,D,A456,S
