CON,HOAD Remarks,State,GSTIN of OWN,GSTIN of supplier,Trade/Legal name,Invoice number,Invoice type,Invoice Date,Invoice Value(₹),Place of supply,Supply Attract Reverse Charge,Taxable Value (₹),Integrated Tax(₹),Central Tax(₹),State/UT Tax(₹),Cess(₹),GSTR-1/IFF/GSTR-5 Period,GSTR-1/IFF/GSTR-5 Filing Date,ITC Availability,Reason,Applicable % of Tax Rate,Source,IRN,IRN Date,Document Type
03AADCA2325A1ZP09AAACO4007A1Z38097515001,Carry Forward,Punjab,03AADCA2325A1ZP,09AAACO4007A1Z3,M/S ONE 97 COMMUNICATION LTD,8097515001,Regular,12/02/2025,177.00,Punjab,No,150.00,27.00,0.00,0.00,0.00,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN24AADCA2325A1ZL240TO1296000714,Matched,Chandigarh,04AADCA2325A1ZN,24AADCA2325A1ZL,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1296000714,Regular,05/02/2025,"7,728",Chandigarh,No,"6,900",828,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN24AADCA2325A1ZL240TO1296000718,Matched,Chandigarh,04AADCA2325A1ZN,24AADCA2325A1ZL,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1296000718,Regular,06/02/2025,"5,040",Chandigarh,No,"4,500",540,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN24AADCA2325A1ZL240TO1296000731,Matched,Chandigarh,04AADCA2325A1ZN,24AADCA2325A1ZL,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1296000731,Regular,12/02/2025,"11,340",Chandigarh,No,"10,800",540,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN24AADCA2325A1ZL240TO1296000737,Matched,Chandigarh,04AADCA2325A1ZN,24AADCA2325A1ZL,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1296000737,Regular,17/02/2025,"1,332.80",Chandigarh,No,"1,190",142.80,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN24AADCA2325A1ZL240TO1296000761,Carry Forward,Chandigarh,04AADCA2325A1ZN,24AADCA2325A1ZL,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1296000761,Regular,28/02/2025,"15,365",Chandigarh,No,"14,500",865,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN27AAACH2702H3ZYMAP2505900464183,Carry Forward,Chandigarh,04AADCA2325A1ZN,27AAACH2702H3ZY,HDFC BANK LIMITED,MAP2505900464183,Regular,28/02/2025,"46,052.28",Chandigarh,No,"39,027.36","7,024.92",0,0,0,Feb'25,10/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN07AADCA2325A1ZH240TO1006000892,Matched,Chandigarh,04AADCA2325A1ZN,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1006000892,Regular,10/02/2025,"12,600",Chandigarh,No,"12,000",600,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN07AADCA2325A1ZH240TO1006000898,Matched,Chandigarh,04AADCA2325A1ZN,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1006000898,Regular,11/02/2025,"5,040",Chandigarh,No,"4,500",540,0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
04AADCA2325A1ZN07AADCA2325A1ZH240TO1006000900,Matched,Chandigarh,04AADCA2325A1ZN,07AADCA2325A1ZH,HOUSE OF ANITA DONGRE PRIVATE LIMITED,240TO1006000900,Regular,12/02/2025,"28,875",Chandigarh,No,"27,500","1,375",0,0,0,Feb'25,11/03/2025,Yes,,100%,,,,Invoice
