Billing Document,Document Number,POS Invoice No.,Business Area,Posting Date,Document Type,Document Date,Assignment,G/L Account,Cleared/open items symbol,Item,Line item,Purchasing Document,Quantity,Posting Period,Posting Key,Amount in local currency,Local Currency,Tax code,Clearing Document,Reference,Account,Special G/L Ind.,Cost Center,Company Code,Discount Percent 2,Debit/Credit Ind.,Text,Customer,User name,Offsetting acct no.,Vendor,Year/month,Offsett.account type,Site,Account Type
,5100020144,,,2/1/2025,RE,2/1/2025,20250201,10065000,,0,3,,0.000,11,40,406.80,INR,0B,,0072068379,10065000,,,IN01,0.000,S,,,SAPAUTO,V-1068,,2024/11,K,,S
,5100020147,,,2/1/2025,RE,2/1/2025,20250201,10065000,,0,3,,0.000,11,40,15.60,INR,0I,,0072068322,10065000,,,IN01,0.000,S,,,SAPAUTO,E710,,2024/11,K,,S
,5100020147,,,2/1/2025,RE,2/1/2025,20250201,10065000,,0,5,,0.000,11,40,34.50,INR,0I,,0072068322,10065000,,,IN01,0.000,S,,,SAPAUTO,E710,,2024/11,K,,S
,5100020147,,,2/1/2025,RE,2/1/2025,20250201,10065000,,0,7,,0.000,11,40,105.00,INR,0I,,0072068322,10065000,,,IN01,0.000,S,,,SAPAUTO,E710,,2024/11,K,,S
,5100020147,,,2/1/2025,RE,2/1/2025,20250201,10065000,,0,9,,0.000,11,40,63.00,INR,0I,,0072068322,10065000,,,IN01,0.000,S,,,SAPAUTO,E710,,2024/11,K,,S
,5100020147,,,2/1/2025,RE,2/1/2025,20250201,10065000,,0,11,,0.000,11,40,12.00,INR,0I,,0072068322,10065000,,,IN01,0.000,S,,,SAPAUTO,E710,,2024/11,K,,S
,5100020147,,,2/1/2025,RE,2/1/2025,20250201,10065000,,0,13,,0.000,11,40,108.00,INR,0I,,0072068322,10065000,,,IN01,0.000,S,,,SAPAUTO,E710,,2024/11,K,,S
,5100020565,,,2/5/2025,RE,2/5/2025,20250205,10065000,,0,3,,0.000,11,40,828.00,INR,0B,,0072068546,10065000,,,IN01,0.000,S,,,SAPAUTO,V-1351,,2024/11,K,,S
,5100020566,,,2/5/2025,RE,2/5/2025,20250205,10065000,,0,3,,0.000,11,40,180.00,INR,0B,,0072068544,10065000,,,IN01,0.000,S,,,SAPAUTO,V-0887,,2024/11,K,,S
,5100020603,,,2/6/2025,RE,2/6/2025,20250206,10065000,,0,3,,0.000,11,40,540.00,INR,0B,,0072068620,10065000,,,IN01,0.000,S,,,SAPAUTO,V-1654,,2024/11,K,,S
